变量名,typeSeqID,weight,group,desc,desc_tw,desc_en,desc_vn,desc_kr,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice4,choice4_tw,choice4_en,choice4_vn,choice4_kr,answer,imgID
66,2,20,206,本游戏中，公会战的决赛时间在每周几？,本遊戲中，公會戰的決賽時間在每周幾？,"In this game, when is the final match of the guild war every week?",404,404,周六,周六,on Saturday,404,404,周五,周五,Friday,404,404,周四,周四,Thursday,404,404,周日,周日,Sunday,404,404,1,
67,2,20,206,本游戏中，以下关于神秘商店说法错误的是哪一项？,本遊戲中，以下關於神秘商店說法錯誤的是哪一項？,"In this game, which one of the following statements about the mystery shop is wrong?",404,404,神秘商店会一直存在,神秘商店會一直存在,The mystery store will always exist,404,404,每天都有触发次数的限制,每天都有觸發次數的限制,There is a limit of times triggering per day,404,404,消耗一定体力后有几率刷新出,消耗一定體力後有幾率刷新出,Chance to refresh after using a certain amount of energy,404,404,多数商品拥有折扣价格,多數商品擁有折扣價格,Most products have discounted prices,404,404,1,
68,2,20,206,本游戏中，玩家等级达到多少级时可开启大招跳过？,本遊戲中，玩家等級達到多少級時可開啟大招跳過？,"In this game, when player's level reaches how many levels, can use the ultimate skip?",404,404,15,15,15,404,404,1,1,1,404,404,10,10,10,404,404,20,20,20,404,404,1,
69,2,20,206,本游戏中，玩家等级达到多少级时可开启探险器？,本遊戲中，玩家等級達到多少級時可開啟探險器？,"In this game, at what level can the player unlock the explorer?",404,404,33,33,33,404,404,20,20,20,404,404,25,25,25,404,404,30,30,30,404,404,1,
70,2,20,206,本游戏中，玩家等级达到多少级时可开启技能的快速升级功能？,本遊戲中，玩家等級達到多少級時可開啟技能的快速升級功能？,"In this game, when player's level reaches what level can unlock quick upgrade function of skills?",404,404,35,35,35,404,404,10,10,10,404,404,20,20,20,404,404,40,40,40,404,404,1,
71,2,20,206,本游戏中，玩家等级达到多少级时消耗体力后有几率发现可捕捉的精灵？,本遊戲中，玩家等級達到多少級時消耗體力後有幾率發現可捕捉的精靈？,"In this game, when player's level reaches what level, after consuming energy, can have chance of finding Pokémon that can be captured?",404,404,36,36,36,404,404,30,30,30,404,404,35,35,35,404,404,40,40,40,404,404,1,
72,2,20,206,本游戏中，玩家等级达到多少级时可开启成就系统？,本遊戲中，玩家等級達到多少級時可開啟成就系統？,"In this game, at what level can the player unlock the achievement system?",404,404,50,50,50,404,404,45,45,45,404,404,40,40,40,404,404,60,60,60,404,404,1,
73,2,20,206,本游戏中，玩家等级达到多少级时可开启开钓鱼玩法？,本遊戲中，玩家等級達到多少級時可開啟開釣魚玩法？,"In this game, when player's level reaches what levels can unlock fishing feature?",404,404,65,65,65,404,404,50,50,50,404,404,55,55,55,404,404,60,60,60,404,404,1,
74,2,20,206,本游戏中，玩家等级达到多少级时可开启符石系统？,本遊戲中，玩家等級達到多少級時可開啟符石系統？,"In this game, at what level can the player unlock the rune system?",404,404,66,66,66,404,404,56,56,56,404,404,60,60,60,404,404,70,70,70,404,404,1,
75,2,20,206,本游戏中，玩家等级达到多少级时可开启符石系统？,本遊戲中，玩家等級達到多少級時可開啟符石系統？,"In this game, at what level can the player unlock the rune system?",404,404,68,68,68,404,404,50,50,50,404,404,58,58,58,404,404,60,60,60,404,404,1,
76,2,20,206,本游戏中，玩家等级达到多少级时可开启超进化？,本遊戲中，玩家等級達到多少級時可開啟超進化？,"In this game, when player's level reaches what levels can unlock Mega evolution?",404,404,70,70,70,404,404,60,60,60,404,404,65,65,65,404,404,75,75,75,404,404,1,
77,2,50,224,以下哪只精灵属于龙系？,以下哪只精靈屬於龍系？,Which of the following Pokémon belong to the Dragon type?,404,404,音波龙,音波龍,Noivern,404,404,热带龙,熱帶龍,Tropius,404,404,暴鲤龙,暴鯉龍,Gyarados,404,404,化石翼龙,化石翼龍,Aerodactyl,404,404,1,
78,2,50,207,以下哪只精灵体重最大？,以下哪只精靈體重最大？,Which of the following Pokémon have the largest weight?,404,404,骑拉帝纳,騎拉帝納,Giratina,404,404,帕路奇亚,帕路奇亞,Palkia,404,404,帝牙卢卡,帝牙盧卡,Dialga,404,404,雷吉奇卡斯,雷吉奇卡斯,Regigigas,404,404,1,
79,2,50,207,以下哪只精灵体重最大？,以下哪只精靈體重最大？,Which of the following Pokémon have the largest weight?,404,404,花疗环环,花療環環,Comfey,404,404,纸御剑,紙禦劍,Kartana,404,404,花蓓蓓,花蓓蓓,Flabébé,404,404,科斯莫古,科斯莫古,Cosmog,404,404,1,
80,2,50,207,以下哪只精灵体重最小？,以下哪只精靈體重最小？,Which of the following Pokémon have the smallest weight?,404,404,鬼斯,鬼斯,Gastly,404,404,宝宝丁,寶寶丁,Igglybuff,404,404,风铃铃,風鈴鈴,Chimecho,404,404,单卵细胞球,單卵細胞球,Solosis,404,404,1,
81,2,50,207,以下哪只精灵体重最小？,以下哪只精靈體重最小？,Which of the following Pokémon have the smallest weight?,404,404,超梦,超夢,Mewtwo,404,404,洛奇亚,洛奇亞,Lugia,404,404,烈空座,烈空座,Rayquaza,404,404,固拉多,固拉多,Groudon,404,404,1,
82,2,50,207,以下哪只精灵最高？,以下哪只精靈最高？,Which of the following Pokémon is the tallest?,404,404,吼鲸王,吼鯨王,Wailord,404,404,大钢蛇,大鋼蛇,Steelix,404,404,椰蛋树·阿罗拉,椰蛋樹·阿羅拉,Exeggutor Alolan form,404,404,盖欧卡,蓋歐卡,Kyogre,404,404,1,
83,2,50,207,以下哪只精灵最高？,以下哪只精靈最高？,Which of the following Pokémon is the tallest?,404,404,七夕青鸟,七夕青鳥,Altaria,404,404,信使鸟,信使鳥,Delibird,404,404,可达鸭,可達鴨,Psyduck,404,404,无畏小子,無畏小子,Tyrogue,404,404,1,
84,2,50,207,以下哪只精灵最矮？,以下哪只精靈最矮？,Which of the following Pokémon is the shortest?,404,404,露力丽,露力麗,Azurill,404,404,小拉达,小拉達,Rattata,404,404,呱呱泡蛙,呱呱泡蛙,Froakie,404,404,梦幻,夢幻,Mew,404,404,1,
85,2,50,207,以下哪只精灵最矮？,以下哪只精靈最矮？,Which of the following Pokémon is the shortest?,404,404,君主蛇,君主蛇,Serperior,404,404,固拉多,固拉多,Groudon,404,404,凤王,鳳王,Ho-Oh,404,404,阿柏怪,阿柏怪,Arbok,404,404,1,
86,2,50,207,以下哪只精灵无法飞行？,以下哪只精靈無法飛行？,Which of the following Pokémon cannot fly?,404,404,天然雀,天然雀,Natu,404,404,克雷色利亚,克雷色利亞,Cresselia,404,404,水君,水君,Suicune,404,404,土地云,土地雲,Landorus,404,404,1,
87,2,50,208,小拉达的门牙生长太长会引起什么影响？,小拉達的門牙生長太長會引起什麽影響？,What will happen if Rattata’s front teeth grow too long?,404,404,无法进食而饿死,無法進食而餓死,Starved to death because of the inability to eat,404,404,攻击对方是伤害更高,攻擊對方是傷害更高,More power when attacking opponent ,404,404,挖掘速度快,挖掘速度快,Faster digging speed,404,404,会学会新的技能,會學會新的技能,Will learn new moves,404,404,1,
88,2,50,209,以下哪只精灵的领地意识相对比较弱？,以下哪只精靈的領地意識相對比較弱？,Which of the following Pokémon have relatively weak territorial awareness?,404,404,拉达,拉達,Raticate,404,404,大嘴雀,大嘴雀,Fearow,404,404,比比鸟,比比鳥,Pidgeotto,404,404,大针蜂,大針蜂,Beedrill,404,404,1,
89,2,50,210,精灵基拉祈是授予和传达人类愿望的精灵，每一千年苏醒一次，但只能苏醒几天？,精靈基拉祈是授予和傳達人類願望的精靈，每一千年蘇醒一次，但只能蘇醒幾天？,"The Pokémon Jirachi is the Pokémon who grant and convey the wishes of people. He wakes up once every thousand years, but only how many days can he wake up?",404,404,7天,7天,7 days,404,404,3天,3天,3 days,404,404,5天,5天,5 days,404,404,10天,10天,10 days,404,404,1,
90,2,50,211,以下那只精灵的游泳速度最快？,以下那只精靈的遊泳速度最快？,Which of the following Pokémon swims the fastest?,404,404,哥达鸭,哥達鴨,Golduck,404,404,钢炮臂虾,鋼炮臂蝦,Clawitzer,404,404,白海狮,白海獅,Dewgong,404,404,角金鱼,角金魚,Goldeen,404,404,1,
91,2,50,212,无畏小子在什么状态下，踢技可以像舞蹈般华丽？,無畏小子在什麽狀態下，踢技可以像舞蹈般華麗？,In what state is the Tyrogue's kicking skills as gorgeous as dancing?,404,404,进化为战舞郎时,進化為戰舞郎時,When evolved into Hitmontop,404,404,在未进化时,在未進化時,When not evolved,404,404,进化为飞腿郎时,進化為飛腿郎時,Evolve to Hitmonlee,404,404,进化为快拳郎时,進化為快拳郎時,When he evolved into Hitmonchan,404,404,1,
92,2,50,213,双倍多多冰形成的原因？,雙倍多多冰形成的原因？,What is the reason caused the formation of Vanilluxe?,404,404,据说是开始融化的２只多多冰贴在一起，再次冻结时诞生而成,據說是開始融化的２只多多冰貼在一起，再次凍結時誕生而成,"Vanilluxe is born when two Vanillish, half-melted by the day's light, stick to each other and freeze together in the cold return of night.",404,404,由一个多多冰分裂重组形成,由一個多多冰分裂重組形成,Formed by a split and recombination of Vanillish,404,404,因为在暴风雪中多多冰发生了变形,因為在暴風雪中多多冰發生了變形,Because Vanillish is deformed in the blizzard,404,404,因为训练家的锻炼最终形成,因為訓練家的鍛煉最終形成,Because the training of the trainer finally formed,404,404,1,
93,2,50,214,呱头蛙拥有绝佳弹跳能力，曾经一分钟内登高达到的最高记录是多少？,呱頭蛙擁有絕佳彈跳能力，曾經一分鐘內登高達到的最高記錄是多少？,The Frogadier has excellent jumping ability. What is the highest record ever reached in one minute?,404,404,600m,600m,600m,404,404,500m,500m,500m,404,404,800m,800m,800m,404,404,1000m,1000m,1000m,404,404,1,
94,2,50,215,雷吉艾斯可以控制多少度的冷气？,雷吉艾斯可以控制多少度的冷氣？,How many degrees of cold air can Regice control?,404,404,零下200°,零下200°,Minus 200°,404,404,零下100°,零下100°,Minus 100°,404,404,零下300°,零下300°,Minus 300°,404,404,零下400°,零下400°,Minus 400°,404,404,1,
95,2,50,216,超坏星共有多少只脚？,超壞星共有多少只腳？,How many feet does Toxapex have?,404,404,12只,12只,Twelve,404,404,10只,10只,Ten,404,404,8只,8只,Eight,404,404,6只,6只,Six,404,404,1,
96,2,50,217,鸭嘴炎兽可以喷射出高热度的火球，火球温度能达到多少摄氏度？,鴨嘴炎獸可以噴射出高熱度的火球，火球溫度能達到多少攝氏度？,Magmortar can eject high-heat fireballs. How many degrees Celsius can the temperature of the fireball reach?,404,404,2000摄氏度,2000攝氏度,2000 degrees Celsius,404,404,3000摄氏度,3000攝氏度,3000 degrees Celsius,404,404,5000摄氏度,5000攝氏度,5000 degrees Celsius,404,404,1000摄氏度,1000攝氏度,1000 degrees Celsius,404,404,1,
97,2,50,218,下面哪个不是由雷吉奇卡斯制作而成的精灵？,下面哪個不是由雷吉奇卡斯制作而成的精靈？,Which of the following Pokémon weren't made by Regigigas?,404,404,雷公,雷公,Raikou,404,404,雷吉洛克,雷吉洛克,Regirock,404,404,雷吉斯奇鲁,雷吉斯奇魯,Registeel,404,404,雷吉艾斯,雷吉艾斯,Regice,404,404,1,
98,2,50,219,胡地超级进化后，漂浮的勺子变成多少个？,胡地超級進化後，漂浮的勺子變成多少個？,"After Alakazam's Mega evolution, how many floating spoons became?",404,404,5个,5個,Five,404,404,4个,4個,Four,404,404,6个,6個,Six,404,404,3个,3個,3,404,404,1,
99,2,50,220,哪只精灵的体温比太阳表面温度还高,哪只精靈的體溫比太陽表面溫度還高,Which Pokémon has a body temperature higher than the surface of the sun?,404,404,熔岩蜗牛,熔巖蝸牛,Magcargo,404,404,小火龙,小火龍,Charmander,404,404,太阳岩,太陽巖,Solrock,404,404,烈焰马,烈焰馬,Rapidash,404,404,1,
100,2,50,221,哪只精灵所下的蛋被人类吃了以后会变得及其温柔、善良？,哪只精靈所下的蛋被人類吃了以後會變得及其溫柔、善良？,Which Pokémon lay eggs that will become extremely gentle and kind after being eaten by humans?,404,404,幸福蛋,幸福蛋,Blissey,404,404,蛋蛋,蛋蛋,Exeggcute,404,404,胖丁,胖丁,Jigglypuff,404,404,椰蛋树,椰蛋樹,Exeggutor,404,404,1,
101,2,50,222,未知图腾一共有多少种？,未知圖騰一共有多少種？,How many kinds of Unown are there?,404,404,28种,28種,28 types,404,404,26种,26種,26 types,404,404,32种,32種,32 types,404,404,34种,34種,34 types,404,404,1,
102,2,50,222,未知图腾前26个是代表着什么？,未知圖騰前26個是代表著什麽？,What do the first 26 Unown represent?,404,404,英文字母,英文字母,English alphabet,404,404,罗马数字,羅馬數字,Roman numerals,404,404,遗迹文字,遺跡文字,Ruins text,404,404,精灵符号,精靈符號,Pokémon symbol,404,404,1,
103,2,50,222,未知图腾后2个代表着两个符号，请问是代表着什么符号？,未知圖騰後2個代表著兩個符號，請問是代表著什麽符號？,The last two Unown represent two symbols. What symbol do they represent?,404,404,"""!""和""?""","!和""?""","""!"" and ""?""",404,404,""",""和"".""",",和"".""",""","" and "".""",404,404,"""<""和"">""","<和"">""","""<"" and "">""",404,404,"""+""和""-""","+和""-""","""+"" and ""-""",404,404,1,
104,2,50,225,以下哪只精灵，它的形象参考了波斯猫、非洲狮、美洲狮和一种常见的店铺摆设物品？,以下哪只精靈，它的形象參考了波斯貓、非洲獅、美洲獅和一種常見的店鋪擺設物品？,"Which of the following Pokémon has an image that refers to a Persian cat, an African lion, a mountain lion, and a common shop display item?",404,404,猫老大,貓老大,Persian,404,404,喵喵,喵喵,Meowth,404,404,东施猫,東施貓,Purugly,404,404,扒手猫,扒手貓,Purrloin,404,404,1,
105,2,50,226,在丰缘地区，有一只传说精灵代表着铁器时代，它是？,在豐緣地區，有一只傳說精靈代表著鐵器時代，它是？,"In the Hoen area, there is a legendary Pokémon representing the Iron Age. What is it?",404,404,雷吉斯奇鲁,雷吉斯奇魯,Registeel,404,404,雷吉艾斯,雷吉艾斯,Regice,404,404,拉帝亚斯,拉帝亞斯,Latias,404,404,雷吉洛克,雷吉洛克,Regirock,404,404,1,
106,2,50,227,搬运小匠手中拿的东西是什么？,搬運小匠手中拿的東西是什麽？,What is the thing in the hands of the Timburr?,404,404,木头,木頭,Wood,404,404,钢板,鋼板,Steel plate,404,404,水泥管,水泥管,Cement pipe,404,404,石头,石頭,stone,404,404,1,
107,2,50,228,洛托姆的形态不包括以下的哪一种？,洛托姆的形態不包括以下的哪一種？,Which of the following is not included in Rotom's form?,404,404,净化洛托姆,凈化洛托姆,Purify Rotom,404,404,清洗洛托姆,清洗洛托姆,Wash Rotom,404,404,旋转洛托姆,旋轉洛托姆,Fan Rotom,404,404,加热洛托姆,加熱洛托姆,Heat Rotom,404,404,1,
108,2,50,229,以下哪只精灵不会因为天气或季节改变自身形态的精灵是？,以下哪只精靈不會因為天氣或季節改變自身形態的精靈是？,Which of the following Pokémon will not change their form due to weather or seasons?,404,404,谢米,謝米,Shaymin,404,404,漂浮泡泡,漂浮泡泡,Castform,404,404,樱花儿,櫻花兒,Cherrim,404,404,萌芽鹿,萌芽鹿,Sawsbuck,404,404,1,
109,3,50,301,动画中小智的皮卡丘最爱的食物是什么,動畫中小智的皮卡丘最愛的食物是什麽,What is Ash’s Pikachu’s favorite food in the animation?,404,404,辣茄果,辣茄果,Tamato,404,404,橙橙果,橙橙果,Oran Berry,404,404,桃桃果,桃桃果,Pecha Berry,404,404,木子果,木子果,Lum Berry,404,404,1,
110,3,50,301,动画中火箭队喵喵曾喜欢的雌性精灵叫什么？,動畫中火箭隊喵喵曾喜歡的雌性精靈叫什麽？,What is the name of the female Pokémon that Meowth once liked in the anime?,404,404,玛丹娜,瑪丹娜,Meowzie,404,404,麦当娜,麥當娜,Meowey,404,404,希娜,希娜,Sheena,404,404,武藏,武藏,Jessie,404,404,1,
111,3,50,301,动画中火箭队老大曾召唤出哪三只精灵，并计划用它们统治合众地区？,動畫中火箭隊老大曾召喚出哪三只精靈，並計劃用它們統治合眾地區？,"In the animation, which three Pokémon have been summoned by Team Rocket’s boss and planned to use them to rule the Unova area?",404,404,土地云、雷电云、龙卷云,土地雲、雷電雲、龍卷雲,"Landorus, Thundurus,Tornadus",404,404,火焰鸟，闪电鸟，急冻鸟,火焰鳥，閃電鳥，急凍鳥,"Moltres, Zapdos, Articuno",404,404,雷公，炎帝，水君,雷公，炎帝，水君,"Raikou, Entei, Suicune",404,404,雷吉洛克，雷吉斯奇鲁，雷吉艾斯,雷吉洛克，雷吉斯奇魯，雷吉艾斯,"Regirock, Registeel, Regice",404,404,1,
112,3,30,302,剧场版动画【时拉比 穿梭时空的相遇】中，哪只神兽陪同小智一起救下时拉比？,劇場版動畫【時拉比 穿梭時空的相遇】中，哪只神獸陪同小智一起救下時拉比？,"In movie [Celebi: Voice of the Forest], which Legendary Pokémon accompanied Ash to rescue Celebi?",404,404,水君,水君,Suicune,404,404,炎帝,炎帝,Entei,404,404,雷公,雷公,Raikou,404,404,洛奇亚,洛奇亞,Lugia,404,404,1,
113,3,30,302,剧场版动画【水都的守护神 拉帝亚斯与拉帝欧斯】中哪只传说精灵战败被俘获？,劇場版動畫【水都的守護神 拉帝亞斯與拉帝歐斯】中哪只傳說精靈戰敗被俘獲？,Which of the legendary Pokémon in movie [Pokémon Heroes - Latios and Latias] was defeated and captured?,404,404,拉帝欧斯,拉帝歐斯,Latios,404,404,拉帝亚斯,拉帝亞斯,Latias,404,404,化石翼龙,化石翼龍,Aerodactyl,404,404,镰刀盔,鐮刀盔,Kabutops,404,404,1,
114,3,30,302,剧场版动画【梦幻与波导的勇者 路卡利欧】中，以下哪只精灵在保护‘世界初始之树“？,劇場版動畫【夢幻與波導的勇者 路卡利歐】中，以下哪只精靈在保護‘世界初始之樹“？,"In movie [Lucario and the Mystery of Mew], which of the following Pokémon is protecting the ""tree of beginning""?",404,404,雷吉艾斯,雷吉艾斯,Regice,404,404,路卡利欧,路卡利歐,Lucario,404,404,梦幻,夢幻,Mew,404,404,超梦,超夢,Mewtwo,404,404,1,
115,3,30,302,剧场版动画【酋雷姆VS圣剑士 凯路迪欧】中哪位精灵是圣剑士的领导者？,劇場版動畫【酋雷姆VS聖劍士 凱路迪歐】中哪位精靈是聖劍士的領導者？,Which Pokémon in movie [Kyurem VS. The Sword of Justice] is the leader of the Swords of Justice?,404,404,勾帕路翁,勾帕路翁,Cobalion,404,404,代拉基翁,代拉基翁,Terrakion,404,404,毕力吉翁,畢力吉翁,Virizion,404,404,凯路迪欧,凱路迪歐,Keldeo,404,404,1,
116,3,30,302,剧场版动画【酋雷姆VS圣剑士 凯路迪欧】中，酋雷姆可以结合谁的力量转变成别的形态？,劇場版動畫【酋雷姆VS聖劍士 凱路迪歐】中，酋雷姆可以結合誰的力量轉變成別的形態？,"In movie [Kyurem VS. The Sword of Justice], whose power can Kyurem combine and transformed into another form?",404,404,捷克罗姆，莱希拉姆,捷克羅姆，萊希拉姆,"Zekrom, Reshiram",404,404,帕路奇亚，帝牙卢卡,帕路奇亞，帝牙盧卡,"Palkia, Dialga",404,404,固拉多，盖欧卡,固拉多，蓋歐卡,"Groudon, Kyogre",404,404,梦幻，超梦,夢幻，超夢,"Mew, Mewtwo",404,404,1,
117,3,30,302,剧场版动画【波尔凯尼恩与机关人偶玛机雅娜】中，以下哪只超进化形态的精灵没有出现过？,劇場版動畫【波爾凱尼恩與機關人偶瑪機雅娜】中，以下哪只超進化形態的精靈沒有出現過？,Which of the following Mega-evolve Pokémon have not appeared in movie [Volcanion and the Mechanical Marvel]?,404,404,超级喷火龙Y,超級噴火龍Y,Mega Charizard Y,404,404,超级耿鬼,超級耿鬼,Mega Gengar,404,404,超级路卡利欧,超級路卡利歐,Mega Lucario,404,404,超级沙奈朵,超級沙奈朵,Mega Gardevoir,404,404,1,
118,3,30,302,剧场版动画【破坏之茧与蒂安希】中，以下哪只神兽精灵没有出现过？,劇場版動畫【破壞之繭與蒂安希】中，以下哪只神獸精靈沒有出現過？,"In movie  [Diancie and the Cocoon of Destruction], which of the following Legendary Pokémons has not appeared?",404,404,基格尔德,基格爾德,Zygarde,404,404,超梦,超夢,Mewtwo,404,404,哲尔尼亚斯,哲爾尼亞斯,Xerneas,404,404, 伊裴尔塔尔, 伊裴爾塔爾, Yveltal,404,404,1,
119,3,30,302,剧场版动画【神速的盖诺赛克特 超梦觉醒】中，是否出现过异色的盖诺赛克特？,劇場版動畫【神速的蓋諾賽克特 超夢覺醒】中，是否出現過異色的蓋諾賽克特？,"In movie [Genesect and the Legend Awakened], has there ever been a shiny Genesect?",404,404,有，一只异色,有，一只異色,"Yes, a shiny",404,404,有，五只异色,有，五只異色,"Yes, five shiny",404,404,没有,沒有,None,404,404,有，两只异色,有，兩只異色,"Yes, two shiny",404,404,1,
120,3,30,302,剧场版动画【比克提尼与黑英雄 捷克罗姆】和【比克提尼与白英雄 莱希拉姆】同为系列剧场版的第15部作品，这种说法是否正确？,劇場版動畫【比克提尼與黑英雄 捷克羅姆】和【比克提尼與白英雄 萊希拉姆】同為系列劇場版的第15部作品，這種說法是否正確？,The movie [Pokémon The Movie: White—Victini and Zekrom] and [Pokémon The Movie: Black—Victini and Reshiram] are both the 15th movie of the series. Is this statement correct?,404,404,错误，应该是第14部作品,錯誤，應該是第14部作品,"Error, it should be the 14th",404,404,错误，应该是第16部作品,錯誤，應該是第16部作品,"Error, it should be the 16th",404,404,正确,正確,Correct,404,404,无法考证,無法考證,Unable to verify,404,404,1,
121,3,50,303,本游戏中，玩家达到40级且本服开放多少天后可参与石英大会？,本遊戲中，玩家達到40級且本服開放多少天後可參與石英大會？,"In this game, how many days after server launch and player’s reaches level 40 to unlock Indigo Conference?",404,404,9,9,9,404,404,7,7,7,404,404,8,8,8,404,404,10,10,10,404,404,1,
122,3,50,304,据说看到皮皮满月时做什么动作的人会得到幸福？,據說看到皮皮滿月時做什麽動作的人會得到幸福？,It is said that sees Clefairy at full moon doing what will gets people happiness?,404,404,在满月下跳舞,在滿月下跳舞,Dancing under the full moon,404,404,在满月下唱歌,在滿月下唱歌,Singing under the full moon,404,404,在满月下吃蔬果,在滿月下吃蔬果,Eat fruits and vegetables under the full moon,404,404,在满月下绕圈,在滿月下繞圈,Circle under the full moon,404,404,1,
123,3,50,305,可达鸭平时经常头痛，这使它经常忘记事情。那么它头痛激烈可能会发生什么？,可達鴨平時經常頭痛，這使它經常忘記事情。那麽它頭痛激烈可能會發生什麽？,"Psyduck usually has a headache, which makes it often forget things. So what might happen to it with intense headache?",404,404,会释放出不可思议的绝招,會釋放出不可思議的絕招,Will release incredible skill,404,404,会迅速的潜入水中,會迅速的潛入水中,Will quickly dive into the water,404,404,会跳起来飞在空中,會跳起來飛在空中,Will jump up and fly,404,404,会回到精灵球中,會回到精靈球中,Will return to the poké ball,404,404,1,
124,3,50,306,以下哪只精灵雌雄同体的？,以下哪只精靈雌雄同體的？,Which of the following Pokémon is hermaphrodite?,404,404,海星星,海星星,Staryu,404,404,水水獭,水水獺,Oshawott,404,404,金鱼王,金魚王,Seaking,404,404,西狮海壬,西獅海壬,Primarina,404,404,1,
125,3,50,307,传说它是甲壳类的祖先，也是乌龟的祖先，这是哪只精灵？,傳說它是甲殼類的祖先，也是烏龜的祖先，這是哪只精靈？,It is said that it is the ancestor of crustaceans and tortoises. Which Pokémon is this?,404,404,化石盔,化石盔,Kabuto,404,404,化石翼龙,化石翼龍,Aerodactyl,404,404,石丸子,石丸子,Roggenrola,404,404,菊石兽,菊石獸,Omanyte,404,404,1,
126,3,50,308,喷嚏熊的鼻涕是健康的晴雨表，下列说法正确的是,噴嚏熊的鼻涕是健康的晴雨表，下列說法正確的是,Cubchoo’s snot is a barometer of health. Which statement is correct?,404,404,鼻涕粘性越强，身体状态越好,鼻涕粘性越強，身體狀態越好,"The more viscous the snot, the better the body condition",404,404,鼻涕顺滑，代表身体状态好,鼻涕順滑，代表身體狀態好,"Snot is smooth, which means that the body is in good condition",404,404,鼻涕粘性弱，身体状态越好,鼻涕粘性弱，身體狀態越好,"The weaker snot’s stickness is, the better the physical condition",404,404,鼻涕越小，代表身体状态好,鼻涕越小，代表身體狀態好,"The smaller the snot, the better the physical condition",404,404,1,
127,3,50,309,甜冷美后擅长强大的踢技，但有一个致命的弱点：,甜冷美後擅長強大的踢技，但有一個致命的弱點：,"Tsareenahe is good at powerful kicking skills, but has a fatal weakness:",404,404,头顶王冠部位被触碰，力量便会消失,頭頂王冠部位被觸碰，力量便會消失,"When the crown on the top of the head is touched, the power will disappear",404,404,当白色花瓣缺少时力量消失,當白色花瓣缺少時力量消失,"When the white petals are missing, the power disappears",404,404,被大家冷漠的时候，力量会变弱,被大家冷漠的時候，力量會變弱,"When to be ignored by people, power will weaken",404,404,光照时间少，力量会变弱,光照時間少，力量會變弱,"When the light time is less, the power will be weaken",404,404,1,
128,3,50,310,以下关于性别的描述错误的是？,以下關於性別的描述錯誤的是？,What is wrong with the following description of gender?,404,404,巴大蝶母的是蓝色的，公的是粉色的,巴大蝶母的是藍色的，公的是粉色的,"The female butterfly is blue, the male is pink",404,404,皮卡丘 母的尾巴末端呈爱心图案,皮卡丘 母的尾巴末端呈愛心圖案,Female Pikachu has a heart pattern at the end of her tail,404,404,拉帝欧斯只有雄性的,拉帝歐斯只有雄性的,Latios is only male,404,404,雄性轻飘飘身体是蓝色的，雌性轻飘飘身体是红色的,雄性輕飄飄身體是藍色的，雌性輕飄飄身體是紅色的,"The male body is blue, while the female body is red.",404,404,1,
129,3,50,311,哪只精灵因为在特定温度开花而被用做温度计？,哪只精靈因為在特定溫度開花而被用做溫度計？,Which Pokémon is used as a thermometer because it blooms at a certain temperature?,404,404,毽子花,毽子花,Skiploom,404,404,霸王花,霸王花,Vileplume,404,404,喇叭芽,喇叭芽,Bellsprout,404,404,妙蛙种子,妙蛙種子,Bulbasaur,404,404,1,
130,3,50,312,哪只精灵尾巴发出的亮光常常作为迷途者的路标？,哪只精靈尾巴發出的亮光常常作為迷途者的路標？,Which Pokémon's tail can glow that is often used as a signpost for the lost?,404,404,电龙,電龍,Ampharos,404,404,皮卡丘,皮卡丘,Pikachu,404,404,灯笼鱼,燈籠魚,Chinchou,404,404,长尾怪手,長尾怪手,Aipom,404,404,1,
131,1,50,113,【常识】电子计算机发明于哪一年？?,【常識】電子計算機發明於哪一年？?,[Common sense] In which year was the electronic computer invented? ?,404,404,1946年,1946年,In 1946,404,404,1948年,1948年,1948,404,404,1951年,1951年,In 1951,404,404,1941年,1941年,In 1941,404,404,1,
132,1,50,113,【常识】企鹅一般在几月份产卵？?,【常識】企鵝一般在幾月份產卵？?,[Common Sense] In what month do penguins lay eggs? ?,404,404,5月?,5月?,May?,404,404,4月,4月,April,404,404,11月,11月,November,404,404,12月,12月,December,404,404,1,
133,1,50,113,【常识】地球的年龄约有？?,【常識】地球的年齡約有？?,[Common Sense] What is the age of the earth? ?,404,404,46亿年,46億年,4.6 billion years,404,404,48亿年,48億年,4.8 billion years,404,404,41亿年,41億年,4.1 billion years,404,404,56亿年,56億年,5.6 billion years,404,404,1,
134,1,50,113,【常识】哈雷彗星绕太阳运行的周期约为？?,【常識】哈雷彗星繞太陽運行的周期約為？?,[Common Sense] What is the period of Halley's comet orbiting the sun? ?,404,404,76年,76年,76 years,404,404,72年,72年,72 years,404,404,74年,74年,74 years,404,404,78年,78年,78 years,404,404,1,
,1,50,119,【常识】七大洲中面积最小的是？?,【常識】七大洲中面積最小的是？?,[Common Sense] Which is the smallest of the seven continents? ?,404,404,南极洲?,南極洲?,Antarctica?,404,404,大洋洲,大洋洲,Oceania,404,404,南美洲,南美洲,South America,404,404,北美洲,北美洲,North America,404,404,1,
